"","id","dam"
"154","GM061","GF023"
"155","GF064","GF022"
"156","GM066","GF047"
"157","GM067","GF022"
"158","BF466","BF214"
"159","GM080","GF052"
"160","BF493","BF215"
"161","GM089","GF023"
"162","GF093","GF023"
"163","DM188","DF055"
"164","GF108","GF023"
"165","GP109","GF023"
"166","GM110","GF023"
"167","GF118","GF023"
"168","TM434","TF319"
"169","DF222","DF169"
"170","TP407","TF319"
"171","VF033","HF021"
"172","VF035","VF019"
"173","VF037","VF010"
"174","VM036","HF021"
"175","HF115","HF062"
"176","VM047","HF021"
"177","VF051","HF021"
"178","VF052","VF010"
"179","VM049","HF016"
"180","VM054","VF010"
"181","VF060","VF010"
"182","VF066","HF016"
"183","BF353","BF315"
"184","BF355","BF267"
"185","BF363","BF309"
"186","VF074","VF010"
"187","VM077","VF010"
"188","HF151","HF125"
"189","HM150","HF120"
"190","BF395","BF309"
"191","FM150","FF138"
"192","VF091","VF019"
"193","SF007","FF069"
"194","SF008","FF067"
"195","BF418","BF267"
"196","BM413","BF341"
"197","FM156","FF138"
"198","BF433","BF267"
"199","BM441","BF338"
"200","BF452","BF365"
"201","FF158","FF138"
"202","VF105","VF019"
"203","FF164","FF145"
"204","BF470","BF411"
"205","BF471","BF267"
"206","VF111","VF019"
"207","FF165","FF133"
"208","HF198","HF120"
"209","BF474","BF411"
"210","VF116","VF019"
"211","BM482","BF267"
"212","DM171","DF006"
"213","VF118","VF019"
"214","VM119","VF019"
"215","FF174","FF145"
"216","BF501","BF411"
"217","BF522","BF454"
"218","BF526","BF483"
"219","BF534","BF411"
"220","GF103","GF074"
"221","GF104","GF075"
"222","DF207","DF169"
"223","BF592","BF487"
"224","BF625","BF487"
"225","BP633","BF487"
"226","DF227","DF139"
"227","DF229","DF169"
"228","BF639","BF487"
"229","GF131","GF093"
"230","DM236","DF139"
"231","GM136","GF093"
"232","GM144","GF093"
"233","VF080","VF035"
"234","BF426","BF361"
"235","VM106","VF092"
"236","VM107","VF035"
"237","BF469","BF361"
"238","HM195","HF178"
"239","HM196","HF164"
"240","BF473","BF411"
"241","GF077","GF022"
"242","HM214","HF164"
"243","BM495","BF411"
"244","HF220","HF178"
"245","HM218","HF164"
"246","GF084","GF022"
"247","BF499","BF439"
"248","BM500","BF454"
"249","VF124","VF033"
"250","GF092","GF022"
"251","HF227","HF178"
"252","HM228","HF178"
"253","HM230","HF164"
"254","VM126","VF033"
"255","BF523","BF484"
"256","GF096","GF022"
"257","VF128","VF033"
"258","BF546","BF439"
"259","BM542","BF484"
"260","BM544","BF483"
"261","DM195","DF178"
"262","GM098","GF022"
"263","HF236","HF178"
"264","BF554","BF439"
"265","BF561","BF439"
"266","HF244","HF164"
"267","HM241","HF182"
"268","HM243","HF178"
"269","HM246","HF125"
"270","DM202","DF166"
"271","DM204","DF166"
"272","BF586","BF439"
"273","BF588","BF484"
"274","DM212","DF169"
"275","SF035","SF025"
"276","GF113","GF093"
"277","BF610","BF535"
"278","BM607","BF566"
"279","HF261","HF125"
"280","HF262","HF178"
"281","BF619","BF484"
"282","BF621","BF484"
"283","BM623","BF566"
"284","BP628","BF566"
